HPILSQ[HPILS1],HPILSQ[HPILS2],HPILSQ[HPILS3],HPILSQ[HPILS4],HPILSQ[HPILS5],HPILSQ[HPILS6],HPILSQ[HPILS7],HPILSQ[HPILS8],HPILSQ[HPILS9],HPILSQ[HPILS10],HPILSQ[HPILS11],HPILSQ[HPILS12],HPILSQ[HPILS13],HPILSQ[HPILS14],HPILSQ[HPILS15],HPILSQ[HPILS16],HPILSQ[HPILS17],HPILSA,HPILSB,HPILSC,HPILSD,HPILSMAX,HPILSDOM,HPILSRESULT,CommuteTime[In],CommuteTime[Out],OffCampusResps,HomeCity,HomeCity[comment],BB01,BB03,BB02,BB04,BB08,BB05,BB06,BB07,BB11,BB09,BB10,BB14,BB12,BB13,BB16,BB15,BB18,BB17,BBL,BBR,BBA,BBB,BBLR,BBQuadrant,BBAB,BBLabel,BBResults,BBDebug,DontCall,DontCallJusticiation,FS02,FS01,FS07,FS03,FS04,FS05,FS06,FS10,FS08,FS09,FS12,FS11,FS13,FS14,FS16,FS15,FS19,FS17,FS18,FS25,FS20,FS21,FS22,FS23,FS24,FS29,FS26,FS27,FS28,FS36,FS30,FS31,FS32,FS33,FS34,FS35,FS42,FS37,FS38,FS39,FS40,FS41,FS43,FS44,FSActive,FSReflective,FSSensory,FSIntuitive,FSVisual,FSVerbal,FSSequential,FSGlobal,FSActRefCalc,FSSensIntCalc,FSVisVerbCalc,FSSeqGlobCalc,FSIsActive,FSIsReflective,FSActRefStrength,FSActRefLabel,FSIsSensing,FSIsIntuitive,FSSensIntStrength,FSSensIntLabel,FSIsVisual,FSIsVerbal,FSVisVerbStrength,FSVisVerbLabel,FSIsSequential,FSIsGlobal,FSSeqGlobStrength,FSSeqGlobLabel,FSDisplayResults,DUCKAll[DUCK01],DUCKAll[DUCK02],DUCKAll[DUCK03],DUCKAll[DUCK04],DUCKAll[DUCK05],DUCKAll[DUCK06],DUCKAll[DUCK07],DUCKAll[DUCK08],DUCKAll[DUCK09],DUCKAll[DUCK10],DUCKAll[DUCK11],DUCKAll[DUCK12],DUCKRESULT,DUCKCALC,PortableTech[NONE],PortableTech[ANDROID],PortableTech[APHABLET],PortableTech[ATABLET],PortableTech[IPHONE],PortableTech[iPAD],PortableTech[SURFACE],PortableTech[CHROMEBOOK],PortableTech[WINDOWS],PortableTech[LINUX],PortableTech[MACBOOK],PortableTech[other],CommonLanguages[Arabic],CommonLanguages[Chinese],CommonLanguages[Farsi],CommonLanguages[French],CommonLanguages[German],CommonLanguages[Hindi],CommonLanguages[Japanese],CommonLanguages[Korean],CommonLanguages[Malay],CommonLanguages[Russian],CommonLanguages[Slav],CommonLanguages[Spanish],CommonLanguages[Tamil],CommonLanguages[Urdu],CommonLanguages[CustomOther],Farsi[Argue],Farsi[Chat],Farsi[Write],Farsi[Notes],Farsi[Joke],Farsi[Read],English[Argue],English[Chat],English[Write],English[Notes],English[Joke],English[Read],ArabicProficiency[Argue],ArabicProficiency[Chat],ArabicProficiency[Write],ArabicProficiency[Notes],ArabicProficiency[Joke],ArabicProficiency[Read],ChineseDialects[Dialect1],ChineseDialects[Dialect2],ChineseDialects[Dialect3],Chinese[Guan],Chinese[Wu],Chinese[Yue],Chinese[Min],Chinese[Xiang],Chinese[Hakka],Chinese[Gan],Chinese[Jin],Chinese[Other1],French[Argue],French[Chat],French[Write],French[Notes],French[Joke],French[Read],Hindi[Argue],Hindi[Chat],Hindi[Write],Hindi[Notes],Hindi[Joke],Hindi[Read],Malay[Argue],Malay[Chat],Malay[Write],Malay[Notes],Malay[Joke],Malay[Read],Japanese[Argue],Japanese[Chat],Japanese[Write],Japanese[Notes],Japanese[Joke],Japanese[Read],Korean[Argue],Korean[Chat],Korean[Write],Korean[Notes],Korean[Joke],Korean[Read],German[Argue],German[Chat],German[Write],German[Notes],German[Joke],German[Read],OtherLanguages[Other1],OtherLanguages[Other2],OtherLanguages[Other3],OtherLanguages[Other4],Slav[Argue],Slav[Chat],Slav[Write],Slav[Notes],Slav[Joke],Slav[Read],Russian[Argue],Russian[Chat],Russian[Write],Russian[Notes],Russian[Joke],Russian[Read],Tamil[Argue],Tamil[Chat],Tamil[Write],Tamil[Notes],Tamil[Joke],Tamil[Read],Spanish[Argue],Spanish[Chat],Spanish[Write],Spanish[Notes],Spanish[Joke],Spanish[Read],Urdu[Argue],Urdu[Chat],Urdu[Write],Urdu[Notes],Urdu[Joke],Urdu[Read],Guan[Argue],Guan[Chat],Guan[Write],Guan[Notes],Guan[Joke],Guan[Read],Wu[Argue],Wu[Chat],Wu[Write],Wu[Notes],Wu[Joke],Wu[Read],Yue[Argue],Yue[Chat],Yue[Write],Yue[Notes],Yue[Joke],Yue[Read],Min[Argue],Min[Chat],Min[Write],Min[Notes],Min[Joke],Min[Read],Xiang[Argue],Xiang[Chat],Xiang[Write],Xiang[Notes],Xiang[Joke],Xiang[Read],ChineseDialect3[Argue],ChineseDialect3[Chat],ChineseDialect3[Write],ChineseDialect3[Notes],ChineseDialect3[Joke],ChineseDialect3[Read],Hakka[Argue],Hakka[Chat],Hakka[Write],Hakka[Notes],Hakka[Joke],Hakka[Read],Gan[Argue],Gan[Chat],Gan[Write],Gan[Notes],Gan[Joke],Gan[Read],Jin[Argue],Jin[Chat],Jin[Write],Jin[Notes],Jin[Joke],Jin[Read],ChineseDialect1[Argue],ChineseDialect1[Chat],ChineseDialect1[Write],ChineseDialect1[Notes],ChineseDialect1[Joke],ChineseDialect1[Read],ChineseDialect2[Argue],ChineseDialect2[Chat],ChineseDialect2[Write],ChineseDialect2[Notes],ChineseDialect2[Joke],ChineseDialect2[Read],OtherLang2[Argue],OtherLang2[Chat],OtherLang2[Write],OtherLang2[Notes],OtherLang2[Joke],OtherLang2[Read],OtherLang3[Argue],OtherLang3[Chat],OtherLang3[Write],OtherLang3[Notes],OtherLang3[Joke],OtherLang3[Read],OtherLang4[Argue],OtherLang4[Chat],OtherLang4[Write],OtherLang4[Notes],OtherLang4[Joke],OtherLang4[Read],OtherLang1[Argue],OtherLang1[Chat],OtherLang1[Write],OtherLang1[Notes],OtherLang1[Joke],OtherLang1[Read],EngrMotivation,GeneralMotivations[MOST],GeneralMotivations[SECOND],GeneralMotivations[THIRD],CEABAttributes,RankBySelf[1],RankBySelf[2],RankBySelf[3],RankBySelf[4],RankBySelf[5],RankBySelf[6],RankBySelf[7],RankBySelf[8],RankBySelf[9],RankBySelf[10],RankBySelf[11],RankBySelf[12],RankByIndustry[1],RankByIndustry[2],RankByIndustry[3],RankByIndustry[4],RankByIndustry[5],RankByIndustry[6],RankByIndustry[7],RankByIndustry[8],RankByIndustry[9],RankByIndustry[10],RankByIndustry[11],RankByIndustry[12],RankByLearning[1],RankByLearning[2],RankByLearning[3],RankByLearning[4],RankByLearning[5],RankByLearning[6],RankByLearning[7],RankByLearning[8],RankByLearning[9],RankByLearning[10],RankByLearning[11],RankByLearning[12],AccessProfile,AccessBBA
S,U,S,U,R,S,U,S,U,S,S,S,U,R,S,S,S,5,3,3,6,6,Diverger,,10,10,N,T,,B,A,A,A,A,A,B,A,A,B,B,A,B,A,A,B,A,A,6,3,6,3,L,LA,A,Analytical,,,Y,"When I am still thinking about a question or I actually don't know the answer to that question, I prefer not to be called on.",A,B,B,B,B,A,A,A,B,A,A,B,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,B,A,A,B,A,B,A,5,6,11,0,6,5,6,5,-1,11,1,1,,1,slightly,slightly Reflective,,1,very strongly,very strongly Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,M,NM,NM,M,NM,S,NM,S,S,S,NM,NM,,3.5,,,,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,Manag,Manag,Comfy,Comfy,Frust,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The reason why I chose to seek a degree in Engineering is actually quite an accident. I loved programming when I was in grade 12 and decided to study in computer science. However, unluckily, I was rejected from the programs I wanted to get into. So I did some research, found out that in Engineering, I could not only do stuff that I like, which is programming, but I could also learn a lot more (such as physics or chem) that can enrich myself better academically and strength my learning skills. Whatsmore, I could gain better problem-solving and tean-working skills that would be very crucial in life no matter what I decide to do after graduating. These were the reasons that helped me to make my decision of studying in engineeringl. ",Gain better problem-solving and tean-working skills,Getting a job related to computer and programming,Learning more stuff to enrich myself and be more special,,GA02,GA04,GA03,GA01,GA07,GA06,GA05,GA09,GA11,GA12,GA08,GA10,GA04,GA07,GA01,GA05,GA06,GA09,GA11,GA08,GA02,GA03,GA12,GA10,GA02,GA04,GA03,GA07,GA11,GA06,GA12,GA01,GA09,GA05,GA08,GA10,Y,Y
S,S,S,U,U,U,U,R,S,U,U,S,U,U,S,S,S,2,7,4,4,7,Assimilator,,20,20,N,T,,B,B,A,B,A,B,A,B,B,A,B,A,B,B,A,B,A,A,2,7,6,3,R,RA,A,Driver,,,N,,A,B,A,A,A,B,A,B,A,B,A,A,B,A,B,A,A,B,A,A,A,B,A,A,B,A,B,B,B,B,A,A,A,A,A,B,A,B,A,A,A,B,A,A,4,7,9,2,9,2,7,4,-3,7,7,3,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,M,M,S,S,S,S,NM,S,M,VM,S,S,,3.3,,,,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Manag,Comfy,Frust,Comfy,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Manag,Comfy,Comfy,Comfy,Comfy,Comfy,Manag,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"First and foremost, coming to UofT, one of the best universities, takes me to a new height in my path of advancing into the society. Studying here provides me a variety of resources, including the good professors, the great environment, and the university's connections to other universities and companies around the globe. With my current skills and knowledge, I would not be able to have a comfortable job; thus, advanced studies is the best option for me.

In terms of program decision, I chose engineering over computer science because engineering covers a wider area of topics. Specifically, I chose engineering science for its comprehensiveness, its resources, and the challenge. I believe that studying in this program would allow me t have more options in the future.","enriching myself by skills, knowledge, and marks",broadening my horizon and have a better understanding of the world,live comfortably (in any ways),,GA04,GA02,GA03,GA06,GA08,GA07,GA05,GA12,GA11,GA09,GA10,GA01,GA06,GA07,GA04,GA08,GA02,GA03,GA05,GA01,GA11,GA09,GA10,GA12,GA04,GA05,GA02,GA03,GA01,GA06,GA07,GA11,GA08,GA12,GA09,GA10,Y,Y
S,S,U,S,U,U,S,S,U,R,S,S,S,S,R,S,S,6,3,3,5,6,Accommodator,,75,75,N,S,,B,A,B,A,A,A,B,A,B,A,A,A,A,B,A,A,B,A,6,3,6,3,L,LA,A,Analytical,,,N,,A,B,B,A,B,B,B,A,A,B,A,A,B,B,A,B,B,B,A,B,A,B,A,B,A,A,A,B,B,A,A,B,A,A,A,B,B,B,B,A,A,B,B,A,2,9,7,4,3,8,9,2,-7,3,-5,7,,1,moderately,moderately Reflective,,1,slightly,slightly Intuitive,,1,moderately,moderately Verbal,,1,moderately,moderately Global,,M,M,VM,S,M,S,M,M,S,M,M,M,,2.7,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Manag,Comfy,Manag,Manag,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malayalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Manag,Frust,Frust,Comfy,Manag,The fact that the majority of everything that can be observed in the modern world was at some point shaped by some form of Engineering makes me believe that with an Engineering degree I am open to hundreds of paths for my future. The job prospects and salaries for Engineers were also motivating factors.,Being able to inspire others,Feeling a sense of accomplishment,Being able to do things not many could,,GA02,GA01,GA07,GA04,GA09,GA10,GA06,GA03,GA05,GA11,GA08,GA12,GA11,GA02,GA07,GA08,GA10,GA06,GA04,GA03,GA09,GA01,GA05,GA12,GA07,GA02,GA04,GA01,GA11,GA05,GA06,GA03,GA08,GA09,GA12,GA10,Y,Y
R,S,S,S,U,S,R,R,R,R,U,S,R,H,R,S,R,3,3,8,3,8,Converger,,90,90,N,R,,B,B,A,A,A,B,A,A,A,B,A,B,B,B,B,B,A,B,2,7,6,3,R,RA,A,Driver,,,N,,A,A,B,B,B,A,A,A,A,B,B,B,B,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,A,B,A,B,B,A,A,A,A,A,A,A,B,A,8,3,10,1,4,7,7,4,5,9,-3,3,,1,moderately,moderately Reflective,,1,very strongly,very strongly Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,S,S,S,S,S,S,S,S,S,S,S,S,,3,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Manag,Manag,Manag,Manag,Manag,Manag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I chose an undergraduate degree in Engineering not only for my personal interests in mathematics and physics but also for the reputation of the Engineering program of UofT for my future.,Friends,Gym,Study,,GA01,GA05,GA02,GA03,GA04,GA10,GA06,GA09,GA12,GA11,GA08,GA07,GA02,GA04,GA12,GA03,GA09,GA08,GA06,GA05,GA07,GA01,GA10,GA11,GA01,GA03,GA12,GA04,GA02,GA11,GA07,GA10,GA05,GA06,GA09,GA08,N,N
S,S,S,R,U,U,R,S,S,U,S,R,U,H,R,U,R,3,5,5,4,5,Assimilator,,20,20,N,T,,B,B,B,B,B,B,B,B,B,A,B,B,A,A,A,B,A,A,3,6,3,6,R,RB,B,Expressive,,,Y,Talking in front of large groups of people without prior notice makes me extremely anxious. ,B,B,B,A,A,B,B,A,A,B,A,B,A,A,B,B,A,B,A,B,A,B,A,A,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,4,7,8,3,6,5,9,2,-3,5,1,7,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,slightly,slightly Verbal,,1,moderately,moderately Global,,S,M,M,NAA,S,M,S,S,NM,NM,VM,VM,,2.6,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Frust,Manag,Manag,Manag,Frust,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The fact that Engineering is heavy in math and science which are subjects that I am interested in, coupled with how it's a versatile degree. ",Being fulfilled and content with where I am at in life,Learning more about myself/my interests ,Making my friends/family proud,,GA09,GA01,GA02,GA07,GA10,GA08,GA03,GA04,GA12,GA06,GA11,GA05,GA07,GA08,GA06,GA01,GA02,GA04,GA03,GA05,GA11,GA09,GA12,GA10,GA02,GA01,GA07,GA04,GA06,GA03,GA05,GA11,GA08,GA09,GA12,GA10,Y,Y
U,U,S,S,S,S,S,S,S,U,S,U,U,S,S,S,S,4,5,5,3,5,Assimilator,,20,20,N,T,,A,A,B,B,A,A,A,B,B,B,A,A,A,B,A,B,B,B,3,6,6,3,R,RA,A,Driver,,,N,,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,A,A,B,B,A,A,B,A,A,B,B,A,B,4,7,8,3,11,0,5,6,-3,5,11,-1,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,very strongly,very strongly Verbal,,1,slightly,slightly Global,,S,S,NM,M,VM,M,NM,S,S,M,NM,M,,3.4,,,,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Frust,Frust,Manag,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"First and foremost, math and sciences have always been an interest and a strong suit of mine, so it is logical that i play to my strengths. Additionally, I believe that engineering is an impactful and highly regarded occupation within society and it would bring me joy to know that other people look up upon me to make a difference. Furthermore, I know that the process of becoming a skilled engineer is not an easy feat, and proving to myself that I can go through what many others dread boosts my self-esteem, and confidence in myself to overcome any challenge I may face in my life.",Being financially well off to repay all the financial investment that my parent has put in my development.,Being able to become a dependable adult in the future to comfortably support my future family,Knowing that I hold a special value and place in society obtained through my hard work and dedication,,GA04,GA09,GA06,GA12,GA01,GA07,GA02,GA03,GA08,GA10,GA05,GA11,GA04,GA01,GA02,GA06,GA07,GA08,GA09,GA03,GA11,GA05,GA10,GA12,GA01,GA04,GA02,GA03,GA09,GA05,GA06,GA07,GA11,GA12,GA10,GA08,Y,Y
U,S,S,U,U,U,S,S,S,S,U,S,S,S,S,S,S,3,6,6,2,6,Assimilator,,15,15,Y,T,,B,A,B,B,A,A,B,A,B,A,A,A,A,B,A,B,B,B,4,5,5,4,R,RA,A,Driver,,,Y,"I get nervous, stutter, and lose my train of thought while talking to or in front of large groups",B,A,A,A,B,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,A,A,B,A,A,A,B,A,B,B,A,A,B,A,B,A,A,B,B,A,B,B,A,A,8,3,5,6,10,1,5,6,5,-1,9,-1,,1,moderately,moderately Reflective,,1,slightly,slightly Intuitive,,1,very strongly,very strongly Verbal,,1,slightly,slightly Global,,M,M,S,S,S,VM,S,S,M,M,S,M,,3.4,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I chose engineering since it encompassed all the things I was looking for in a future career and in the fields I wished to expand my knowledge and learn more about. ,Survival/fulfillment of needs/staying healthy,Staying happy and pursuing things that make me happy,Creating a good base for my future and my family’s future,,GA01,GA04,GA07,GA05,GA02,GA06,GA03,GA11,GA08,GA12,GA09,GA10,GA01,GA02,GA03,GA04,GA07,GA08,GA05,GA11,GA06,GA09,GA10,GA12,GA01,GA05,GA04,GA02,GA07,GA03,GA09,GA06,GA08,GA11,GA10,GA12,Y,Y
S,U,S,U,U,S,U,S,U,U,S,S,U,S,S,S,U,3,6,3,5,6,Assimilator,,20,20,N,T,,B,A,B,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,7,2,5,4,L,LA,A,Analytical,,,Y,"I tend to not be able to form concrete opinions or thoughts quickly, especially when I found being called upon slightly stressful.",B,B,B,A,B,B,B,A,A,B,A,A,B,A,A,B,A,A,A,B,A,A,A,A,B,A,A,A,B,A,A,B,A,B,B,A,B,B,B,A,B,A,B,B,3,8,6,5,7,4,6,5,-5,1,3,1,,1,moderately,moderately Reflective,,1,slightly,slightly Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,S,M,NM,M,M,VM,M,M,S,M,NM,VM,,3.3,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frust,Manag,Frust,Frust,Manag,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I was first introduced to STEM in grade 10 when I took the grade 11 computer science school at school. I was quickly able to grasp programming concepts and enjoyed my experience tackling problems and course material throughout that year. Upon further research of my interests, I was inspired by the innovative nature of STEM. Engineering thus attracts me as I can apply my interests in software into tackling real-world problems in a useful way. I decided to earn an undergraduate degree in Engineering at University of Toronto because I am eager to dive myself into experiencing and learning much more about my interests, especially at a trusted university.",Helping other people to accomplish great things,Making enough money for my family,Being intelligent and a good role model,,GA01,GA07,GA06,GA02,GA03,GA04,GA09,GA10,GA05,GA11,GA08,GA12,GA07,GA06,GA08,GA01,GA02,GA04,GA03,GA11,GA09,GA05,GA10,GA12,GA01,GA05,GA02,GA04,GA06,GA07,GA12,GA11,GA09,GA10,GA03,GA08,Y,Y
S,S,S,S,S,R,S,R,U,U,U,U,S,U,U,S,S,3,4,6,4,6,Converger,,30,30,N,T,,B,B,B,B,B,B,B,B,B,A,A,B,B,A,B,B,A,B,2,7,2,7,R,RB,B,Expressive,,,Y,I prefer to think over everything and what others bring to the table before forming my final thoughts. It makes me a bit uncomfortable and less organized when I am called on to present an interrupted thought.,B,B,A,A,A,B,A,B,A,A,B,A,B,B,A,B,A,B,B,B,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,A,A,B,B,A,B,A,A,A,4,7,4,7,9,2,5,6,-3,-3,7,-1,,1,slightly,slightly Reflective,,1,slightly,slightly Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,M,S,M,VM,NM,M,S,NM,M,S,NM,VM,,3.8,,Y,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I was naturally interested in science but also certain global issues since I was a child. As I have always wanted to contribute to better the environment or better the lives of the weak, engineering appealed to me.",Helping others in need/that aren't heard,Working with people who share similar concerns and ambitions,Opening my eyes to something I could not see before,,GA01,GA09,GA07,GA10,GA06,GA03,GA02,GA08,GA04,GA12,GA05,GA11,GA11,GA05,GA07,GA02,GA08,GA06,GA04,GA03,GA01,GA09,GA10,GA12,GA01,GA09,GA10,GA02,GA04,GA05,GA07,GA08,GA11,GA06,GA03,GA12,Y,Y
R,S,S,U,U,S,U,U,R,U,U,S,S,U,U,U,U,1,6,7,3,7,Converger,,20,20,N,T,,B,B,B,B,B,B,B,B,B,A,B,A,B,B,A,B,B,B,1,8,2,7,R,RB,B,Expressive,,,N,,B,A,B,A,B,A,A,B,B,A,A,B,A,A,A,B,A,B,B,A,B,A,B,A,B,A,A,A,B,B,B,A,A,A,B,A,A,A,B,B,B,A,A,A,10,1,4,7,7,4,4,7,9,-3,3,-3,,1,very strongly,very strongly Reflective,,1,slightly,slightly Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,VM,S,M,M,M,VM,S,NM,VM,M,M,VM,,3.7,,,,,Y,,,,Y,Y,,,,,,Y,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I always wanted to change the world in one way or another. After much thought, I decided engineering was the way to do so, potentially influencing the entire world with the creation of groundbreaking technologies to solve social, physical, and economical problems. I also always wanted to go for the toughest program available to me, and engineering is known for this challenge, particularly engineering science. ",Thought of success,Pride,Fear of failure,,GA04,GA07,GA03,GA06,GA01,GA09,GA02,GA12,GA11,GA10,GA05,GA08,GA01,GA02,GA04,GA03,GA05,GA09,GA06,GA10,GA07,GA11,GA08,GA12,GA04,GA02,GA03,GA01,GA05,GA12,GA08,GA07,GA11,GA09,GA06,GA10,Y,Y
S,U,U,U,U,U,U,S,S,S,S,U,U,R,U,U,U,5,8,2,2,8,Assimilator,,20,20,N,T,,A,B,B,A,B,B,A,B,B,A,B,A,B,A,A,B,B,A,4,5,4,5,R,RB,B,Expressive,,,N,,A,B,A,A,B,B,B,B,B,A,A,A,A,B,A,B,A,B,A,A,A,B,A,A,A,B,B,A,B,B,B,A,B,B,B,B,A,A,A,A,B,B,A,A,5,6,5,6,9,2,5,6,-1,-1,7,-1,,1,slightly,slightly Reflective,,1,slightly,slightly Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,VM,S,M,NM,VM,VM,S,VM,M,VM,VM,M,,3,,Y,,,,,,,Y,,,Kindle Paperwhite for textbooks,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Manag,Frust,Frust,Frust,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Versatile degree that sets you up for long term success. I'm detail oriented and have historically done well on STEM topics. It's something I've invested my free time into and something I'm good at.,Other people doing better than me,Being close to the finish,Self frustration,,GA02,GA03,GA04,GA08,GA01,GA06,GA07,GA12,GA05,GA11,GA10,GA09,GA06,GA07,GA01,GA08,GA02,GA03,GA04,GA11,GA05,GA10,GA12,GA09,GA01,GA03,GA02,GA04,GA06,GA05,GA07,GA10,GA11,GA09,GA08,GA12,Y,Y
